Date,uk_ftse
26-Jul-10,"5,351.12"
23-Jul-10,"5,312.62"
22-Jul-10,"5,313.81"
21-Jul-10,"5,214.64"
20-Jul-10,"5,139.46"
19-Jul-10,"5,148.28"
16-Jul-10,"5,158.90"
15-Jul-10,"5,211.30"
14-Jul-10,"5,253.50"
13-Jul-10,"5,271.00"
12-Jul-10,"5,167.00"
9-Jul-10,"5,132.90"
8-Jul-10,"5,105.50"
7-Jul-10,"5,014.80"
6-Jul-10,"4,965.00"
5-Jul-10,"4,823.50"
2-Jul-10,"4,838.10"
1-Jul-10,"4,805.80"
30-Jun-10,"4,916.90"
29-Jun-10,"4,914.20"
28-Jun-10,"5,071.70"
25-Jun-10,"5,046.50"
24-Jun-10,"5,100.20"
23-Jun-10,"5,178.50"
22-Jun-10,"5,247.00"
21-Jun-10,"5,299.10"
18-Jun-10,"5,250.80"
17-Jun-10,"5,253.90"
16-Jun-10,"5,237.90"
15-Jun-10,"5,217.80"
14-Jun-10,"5,202.10"
11-Jun-10,"5,163.70"
10-Jun-10,"5,132.50"
9-Jun-10,"5,085.90"
8-Jun-10,"5,028.10"
7-Jun-10,"5,069.10"
4-Jun-10,"5,126.00"
3-Jun-10,"5,211.20"
2-Jun-10,"5,151.30"
1-Jun-10,"5,163.30"
28-May-10,"5,188.40"
27-May-10,"5,195.20"
26-May-10,"5,038.10"
25-May-10,"4,940.70"
24-May-10,"5,069.60"
21-May-10,"5,062.90"
20-May-10,"5,073.10"
19-May-10,"5,158.10"
18-May-10,"5,307.30"
17-May-10,"5,262.50"
14-May-10,"5,262.90"
13-May-10,"5,433.70"
